Textbox16,ACTUAL_SHIP_DATE_TIME,SHIPPING_LOAD_NUM,CUSTOMER,store,ERP_order,AISLE,PARENT_CONTAINER_ID,item,ITEM_DESC,coef,pck,pcs,total_piece,total_kg,LOT
322,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000147859_1,KAPAL API SPC 60GR_1C50P,50,0,2,2,0,17062027
323,16-Jul-26,1480118,48448,PYN,CR07057734334,18,00004000000052589032,0000000147911_1,RONI MACARONI ROASTED CORN 130GR_1C16P,16,0,1,1,0,01062027
324,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000148034_1,LAFONTE SPAGHETTI 225 GR_1C40P,40,0,2,2,0,12042028
325,16-Jul-26,1480118,48448,PYN,CR07057734334,01,00004000000052588851,0000000148346_1,KOALA LA GULA KAPAS STROBERI 10S_1C60P,60,0,2,2,0,21052028
326,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000148492_1,LAFONTE SPAGHETTI 450 GR_1C20P,20,0,1,1,0,07042028
327,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000148509_1,LAFONTE SPAGHETTI SAUS BOLOGNESE 117G_1C18P,18,0,1,1,0,08062027
328,16-Jul-26,1480118,48448,PYN,CR07057734334,15,00004000000052588844,0000000148548_1,GREENFIELDS FULLCREAM 950ML_1C12P,12,0,6,6,0,18042027
329,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000148604_1,AAA BIHUN KECIL 220 GR_1C24P,24,0,1,1,0,01122028
330,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000148624_1,DEL MONTE EXTRA HOT 330ML_1C24P,24,0,1,1,0,24042028
331,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000148626_1,INDOFOOD SAMBAL SACHET 24S_1C21P,21,0,1,1,0,29112027
332,16-Jul-26,1480118,48448,PYN,CR07057734334,12,00004000000052588974,0000000148791_1,BIORE BSW WHITE B100 _1C48P,48,0,1,1,0,22052029
333,16-Jul-26,1480118,48448,PYN,CR07057734334,13,00004000000052588981,0000000148794_1,ZWITSAL SOAP MILKY HONEY 70GR 1C144P 64405303,144,0,1,1,0,01112028
334,16-Jul-26,1480118,48448,PYN,CR07057734334,13,00004000000052588981,0000000148828_1,KODOMO TOOTHPASTE GRAPE 45GR,36,0,1,1,0,28062029
335,16-Jul-26,1480118,48448,PYN,CR07057734334,12,00004000000052588967,0000000148842_1,JF  BS ACNE CARE 90G,60,0,1,1,0,12012030
336,16-Jul-26,1480118,48448,PYN,CR07057734334,13,00004000000052588981,0000000148851_1,KODOMO TOOTHPASTE ORANGE 45GR,36,0,1,1,0,11052029
337,16-Jul-26,1480118,48448,PYN,CR07057734334,13,00004000000052588981,0000000148863_1,KODOMO TOOTHPASTE STRAWBERRY 45GR,36,0,2,2,0,01022029
338,16-Jul-26,1480118,48448,PYN,CR07057734334,13,00004000000052588981,0000000148874_1,KODOMO SIKAT GIGI 2IN1 REGULAR,24,0,1,1,0,08042029
339,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000149081_1,ULTRA FLU TABLET4S_YM,1,0,2,2,0,12032030
340,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000149083_1,BIOGESIC 4S_1B25P,1400,0,2,2,0,12072030
341,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000149097_1,INDOFOOD SAMBAL EXTRA PEDAS 135ML_1C48P HCO,48,0,1,1,0,24052027
342,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000149139_1,INDOFOOD SAUS TOMAT BOTOL135ML_1C48P,48,0,2,2,0,19112027
343,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000149176_1,FANCY POWDER PUFF  ISI 2 _Y,1,0,1,1,0,08042029
344,16-Jul-26,1480118,48448,PYN,CR07057734334,15,00004000000052588844,0000000149282_1,KARA SUN SANTAN KELAPA 200ML _1C12P,12,0,3,3,0,06072027
345,16-Jul-26,1480118,48448,PYN,CR07057734334,15,00004000000052588844,0000000149404_1,ULTRA MOCCA 250 ML_1C24P,24,0,1,1,0,31032027
346,16-Jul-26,1480118,48448,PYN,CR07057734334,01,00004000000052588851,0000000149572_1,DELFI TAKE IT 4F 35G_1C10P,100,0,1,1,0,10102027
347,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000149667_1,ABC KECAP MANIS 275ML_1C24P,24,0,2,2,0,05022028
348,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000149691_1,CERES MEISES MILK 80G_1C12P,12,0,3,3,0,13032027
349,16-Jul-26,1480118,48448,PYN,CR07057734334,16,00004000000052589018,0000000150407_1,MAYASI  BAWANG 70GR_1C40P,40,0,2,2,0,09102026
350,16-Jul-26,1480118,48448,PYN,CR07057734334,30,00004000000052589247,0000000150434_1,INDOMIE SOTO MIE 70GR_1C40P,40,1,0,40,0,03022027
351,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589346,0000000150573_1,GARUDA TING TING 125GR_1C20P,20,0,1,1,0,12052027
352,16-Jul-26,1480118,48448,PYN,CR07057734334,12,00004000000052588967,0000000150973_1,MIRANDA HAIR COL MC1 NATURAL BLACK BOX,144,0,1,1,0,02022029
353,16-Jul-26,1480118,48448,PYN,CR07057734334,23,00004000000052589094,0000000151003_1,KOEPOE 2 BAKING POWDER 45 GR_1C12P,72,0,1,1,0,12062028
354,16-Jul-26,1480118,48448,PYN,CR07057734334,28,00004000000052589209,0000000151109_1,FRESTEA APEL LEMON GRASS 500ML_1C12P,12,0,1,1,0,31032027
355,16-Jul-26,1480118,48448,PYN,CR07057734334,01,00004000000052588851,0000000151446_1,SAMPOERNA A MILD 16 BTG _1B10P,100,0,10,10,0,12012027
356,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000151487_1,SWALLOW LILY AGAR PUTIH 7 GR_1B12P,288,0,2,2,0,22042029
357,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000151569_1,DIXI CUKA 100 ML_1C60P,60,0,1,1,0,01052031
358,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000151574_1,DIXI CUKA 150 ML_1C60P,60,0,1,1,0,05052031
359,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000151632_1,GELIGA BALSAM OTOT 20GR,144,0,1,1,0,01052031
360,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000151676_1,ROYCO KALDU RASA AYAM 94GR POUCH_1C36P_62019609,36,0,4,4,0,19062027
361,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000151681_1,ROYCO KALDU RASA SAPI 94GR POUCH_1C36P_62019635,36,0,2,2,0,18062027
362,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000151964_1,NEOZEP FORTE 4S_1B25P,1200,0,3,3,0,01102027
